Dte;Barri;AEB;SC;Electors;Votants;Abstencio;Nuls;Votsvalids;Blancs;TriasxBCN;PSC-CP;BCOMU-C;ERC-AM;PP;VOX;CUP-AMUNT;VALENTS;Cs;PACMA;BCNETSTU;EV-AV;EB;NOVAPRIMARIES;PC-LV;FNC;PCTC;AIREs-LaIzquierda;PH;PFiV;UNIDOSSI;SOMI;JES-UEP;PTDCERV;Partitmesvotat
1;1;1;1;604;295;309;3;292;0;29;73;74;19;42;21;12;9;5;4;2;0;1;1;0;0;0;0;0;0;0;0;0;0;BCOMU-C
1;1;1;2;503;194;309;1;193;1;31;41;54;20;13;13;7;3;5;1;0;1;0;0;0;1;0;1;0;0;0;1;0;0;BCOMU-C
1;1;2;3;1365;595;770;2;593;3;86;183;100;63;63;35;11;10;6;7;8;4;2;0;2;0;1;1;0;2;2;1;1;2;PSC-CP
1;1;2;4;1299;675;624;3;672;3;73;145;223;66;26;54;26;22;3;8;14;1;2;1;0;3;0;1;0;0;0;0;0;1;BCOMU-C
1;1;3;5;1049;441;608;2;439;3;44;116;128;34;28;27;22;11;5;6;5;0;3;1;2;3;0;1;0;0;0;0;0;0;BCOMU-C
1;1;3;6;624;296;328;1;295;2;38;68;103;32;28;8;6;2;4;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;BCOMU-C
1;1;3;7;750;304;446;3;301;5;34;82;94;24;7;16;21;6;3;1;3;0;0;0;0;0;0;2;0;0;0;1;0;2;BCOMU-C
1;1;4;8;1141;426;715;5;421;5;47;107;132;51;22;13;10;7;6;4;11;1;0;0;0;1;0;0;0;2;1;0;1;0;BCOMU-C
1;1;4;9;897;437;460;8;429;4;82;99;129;44;17;23;11;9;1;2;4;2;0;0;0;0;0;0;0;0;2;0;0;0;BCOMU-C
1;1;4;10;829;337;492;3;334;1;46;82;105;37;18;17;21;1;2;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;BCOMU-C
1;1;5;11;1111;447;664;2;445;4;54;132;122;33;28;29;11;9;5;9;3;0;1;0;2;0;0;0;0;0;0;2;0;1;PSC-CP
1;1;5;12;837;397;440;5;392;1;73;90;96;47;36;15;10;12;4;2;2;1;0;0;1;0;0;0;0;0;2;0;0;0;BCOMU-C
1;1;5;13;697;359;338;4;355;4;65;85;95;47;17;8;14;4;4;5;2;1;2;0;1;0;0;0;0;1;0;0;0;0;BCOMU-C
1;1;6;14;849;374;475;7;367;3;58;92;112;43;26;15;11;3;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;BCOMU-C
1;1;6;15;928;446;482;2;444;4;65;110;128;61;34;12;7;2;9;5;2;1;0;0;1;2;0;0;0;1;0;0;0;0;BCOMU-C
1;1;6;16;814;366;448;6;360;5;69;85;100;32;15;12;10;10;4;6;3;1;1;1;2;1;1;0;0;0;0;1;0;1;BCOMU-C
1;1;6;17;917;373;544;3;370;12;57;90;94;29;31;24;13;2;6;0;5;0;0;0;2;0;0;1;1;1;2;0;0;0;BCOMU-C
1;1;7;18;713;309;404;7;302;5;39;51;101;22;29;27;5;2;4;8;2;3;0;0;1;0;1;0;0;0;0;0;2;0;BCOMU-C
1;1;7;19;1053;492;561;7;485;4;58;102;150;49;39;23;32;10;7;4;1;1;0;2;1;0;0;0;1;0;0;0;0;1;BCOMU-C
1;1;7;20;1163;669;494;10;659;7;112;98;220;81;36;30;26;7;7;10;5;11;2;2;3;0;1;0;0;0;1;0;0;0;BCOMU-C
1;1;8;21;1060;538;522;3;535;3;118;81;173;52;32;20;23;10;4;9;6;0;1;1;0;1;1;0;0;0;0;0;0;0;BCOMU-C
1;2;9;22;704;382;322;4;378;6;100;46;111;48;25;13;10;5;1;5;4;3;1;0;0;0;0;0;0;0;0;0;0;0;BCOMU-C
1;2;9;23;985;516;469;1;515;7;114;75;126;71;36;14;29;13;9;10;2;2;2;1;1;0;1;0;0;1;1;0;0;0;BCOMU-C
1;2;10;25;591;307;284;4;303;4;66;29;116;23;15;13;24;2;0;3;1;0;1;1;2;1;0;0;2;0;0;0;0;0;BCOMU-C
1;2;10;26;1684;459;1225;9;450;5;68;81;147;47;32;23;19;2;6;4;4;1;1;3;0;3;1;0;0;0;0;0;0;3;BCOMU-C
1;2;10;27;708;371;337;1;370;4;62;70;120;41;16;9;22;3;7;8;3;1;0;1;1;1;0;0;1;0;0;0;0;0;BCOMU-C
1;2;11;28;821;434;387;2;432;4;73;59;155;45;24;14;34;4;5;3;3;4;0;2;0;1;1;1;0;0;0;0;0;0;BCOMU-C
1;2;11;29;551;257;294;1;256;1;44;55;81;14;12;14;16;6;1;2;2;0;1;1;1;1;1;0;1;1;0;0;1;0;BCOMU-C
1;2;12;30;1164;561;603;1;560;6;81;130;173;60;28;27;28;5;3;4;3;1;0;0;4;1;2;2;0;1;0;0;0;1;BCOMU-C
